jobTitle,companyName,salary_cleaned,pubDate,region,category,seniority
Senior Angular Frontend Developer,MyTime,169830.0,2025-05-07 02:50:55,North America,Engineering,Senior
Software Engineer,Scout AI,262521.15,2025-05-07 00:50:54,Other,Engineering,Other
Senior Go Engineer,OnHires,51290.08333333333,2025-05-06 02:50:06,Other,Engineering,Senior
Senior Software Engineer II,SurveyMonkey,89450.15,2025-05-05 22:50:49,North America,Engineering,Senior
Senior Shopify Developer,Proxify,65.0,2025-05-05 15:30:56,Other,Engineering,Senior
"Software Engineer, Kotlin - AI Training",Alignerr,82.5,2025-05-05 12:50:51,North America,Data,Other
Senior Full-Stack Developer,PurposeMed,120000.0,2025-05-05 00:50:52,North America,Engineering,Senior
"Engineering Lead, AI Product",The Browser Company,280000.0,2025-05-04 22:50:17,North America,Data,Lead
Architect,3Cloud,126050.0,2025-05-04 22:50:13,North America,Other,Other
Senior Full Stack Engineer,Humi,89450.15,2025-05-04 10:50:40,North America,Engineering,Senior
Salesforce Engineering Manager,Splitero,165000.0,2025-05-03 20:50:23,North America,Management,Other
Staff Backend Engineer - Grafana App Platform,Grafana Labs,100415.0,2025-05-03 08:51:02,Europe,Engineering,Other
Software Engineer,Wincent,450000.0,2025-05-03 04:50:40,Europe,Engineering,Other
Senior Software Engineer,Well,165000.0,2025-05-02 20:51:10,North America,Engineering,Senior
Senior JavaScript Engineer,Varicent,67.73333333333333,2025-05-02 18:51:00,Latam,Engineering,Senior
Data Engineer (gRPC) - Early Team,Meetsta,169830.0,2025-05-02 18:50:59,North America,Data,Other
"Senior JavaScript Engineer – React, Node & GraphQL",Varicent,67.73333333333333,2025-05-02 18:50:59,Latam,Engineering,Senior
Solutions Engineer,Tapcart,130000.0,2025-05-02 06:51:02,North America,Engineering,Other
Node.js Engineer,Harper,150000.0,2025-05-02 02:51:03,North America,Engineering,Other
Senior Software Engineer,Contra,185.0,2025-05-01 18:03:50,North America,Engineering,Senior
Senior Software Engineer,"NewRocket, Inc.",71668.65,2025-05-01 16:51:04,North America,Engineering,Senior
"Senior Developer, Backend(Ruby) - Practitioners Onboarding",Fullscript,89450.15,2025-05-01 16:51:03,North America,Engineering,Senior
